"step","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step__MIN","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step__MAX","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss__MIN","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss__MAX","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step__MIN","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step__MAX","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss__MIN","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss__MAX","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - _step","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - _step__MIN","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - _step__MAX","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - val/loss","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - val/loss__MIN","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - val/loss__MAX","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_mu_mu_err_fb - _step","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_mu_mu_err_fb - _step__MIN","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_mu_mu_err_fb - _step__MAX","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_mu_mu_err_fb - val/loss","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_mu_mu_err_fb - val/loss__MIN","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_mu_mu_err_fb - val/loss__MAX","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - _step","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - _step__MIN","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - _step__MAX","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - val/loss","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - val/loss__MIN","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - val/loss__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0_baseline - _step","(dion+lion)_bs=1024_lr=0.01_sp=1.0_baseline - _step__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0_baseline - _step__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0_baseline - val/loss","(dion+lion)_bs=1024_lr=0.01_sp=1.0_baseline - val/loss__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0_baseline - val/loss__MAX"
"1250","1260","1260","1260","4.223672103881836","4.223672103881836","4.223672103881836","1260","1260","1260","5.631560134887695","5.631560134887695","5.631560134887695","1260","1260","1260","4.160505676269532","4.160505676269532","4.160505676269532","1260","1260","1260","3.9327503204345704","3.9327503204345704","3.9327503204345704","1260","1260","1260","4.329211807250976","4.329211807250976","4.329211807250976","1260","1260","1260","3.5522125244140623","3.5522125244140623","3.5522125244140623"
"1375","1386","1386","1386","4.139707565307617","4.139707565307617","4.139707565307617","1386","1386","1386","5.534576034545898","5.534576034545898","5.534576034545898","1386","1386","1386","4.111635208129883","4.111635208129883","4.111635208129883","1386","1386","1386","3.895343017578125","3.895343017578125","3.895343017578125","1386","1386","1386","4.280409240722657","4.280409240722657","4.280409240722657","1386","1386","1386","3.529998016357422","3.529998016357422","3.529998016357422"
"1500","1512","1512","1512","4.096112823486328","4.096112823486328","4.096112823486328","1512","1512","1512","5.4242198944091795","5.4242198944091795","5.4242198944091795","1512","1512","1512","4.068237686157227","4.068237686157227","4.068237686157227","1512","1512","1512","3.861397552490234","3.861397552490234","3.861397552490234","1512","1512","1512","4.239348220825195","4.239348220825195","4.239348220825195","1512","1512","1512","3.511512756347656","3.511512756347656","3.511512756347656"
"1625","1638","1638","1638","4.01812744140625","4.01812744140625","4.01812744140625","1638","1638","1638","5.319255065917969","5.319255065917969","5.319255065917969","1638","1638","1638","4.029191970825195","4.029191970825195","4.029191970825195","1638","1638","1638","3.830698776245117","3.830698776245117","3.830698776245117","1638","1638","1638","4.191526794433594","4.191526794433594","4.191526794433594","1638","1638","1638","3.490812301635742","3.490812301635742","3.490812301635742"
"1750","1764","1764","1764","3.977783203125","3.977783203125","3.977783203125","1764","1764","1764","5.229534912109375","5.229534912109375","5.229534912109375","1764","1764","1764","3.998435211181641","3.998435211181641","3.998435211181641","1764","1764","1764","3.8058074951171874","3.8058074951171874","3.8058074951171874","1764","1764","1764","4.174027633666992","4.174027633666992","4.174027633666992","1764","1764","1764","3.4752132415771486","3.4752132415771486","3.4752132415771486"
"1875","1890","1890","1890","3.946351623535156","3.946351623535156","3.946351623535156","1890","1890","1890","5.120339202880859","5.120339202880859","5.120339202880859","1890","1890","1890","3.963207626342774","3.963207626342774","3.963207626342774","1890","1890","1890","3.782531356811523","3.782531356811523","3.782531356811523","1890","1890","1890","4.1252288818359375","4.1252288818359375","4.1252288818359375","1890","1890","1890","3.4613746643066405","3.4613746643066405","3.4613746643066405"
"2000","2016","2016","2016","3.932181167602539","3.932181167602539","3.932181167602539","2016","2016","2016","5.057940673828125","5.057940673828125","5.057940673828125","2016","2016","2016","3.938872528076172","3.938872528076172","3.938872528076172","2016","2016","2016","3.7614940643310546","3.7614940643310546","3.7614940643310546","2016","2016","2016","4.0994415283203125","4.0994415283203125","4.0994415283203125","2016","2016","2016","3.4510772705078123","3.4510772705078123","3.4510772705078123"
"2125","2142","2142","2142","3.901349258422852","3.901349258422852","3.901349258422852","2142","2142","2142","4.976396942138672","4.976396942138672","4.976396942138672","2142","2142","2142","3.916084289550781","3.916084289550781","3.916084289550781","2142","2142","2142","3.744455337524414","3.744455337524414","3.744455337524414","2142","2142","2142","4.078234481811523","4.078234481811523","4.078234481811523","2142","2142","2142","3.439510726928711","3.439510726928711","3.439510726928711"
"2250","2268","2268","2268","3.8578163146972657","3.8578163146972657","3.8578163146972657","2268","2268","2268","4.882876968383789","4.882876968383789","4.882876968383789","2268","2268","2268","3.8929374694824217","3.8929374694824217","3.8929374694824217","2268","2268","2268","3.7270545959472656","3.7270545959472656","3.7270545959472656","2268","2268","2268","4.046860122680664","4.046860122680664","4.046860122680664","2268","2268","2268","3.4292934417724608","3.4292934417724608","3.4292934417724608"
"2375","2394","2394","2394","3.8261741638183593","3.8261741638183593","3.8261741638183593","2394","2394","2394","4.7881511688232425","4.7881511688232425","4.7881511688232425","2394","2394","2394","3.871800994873047","3.871800994873047","3.871800994873047","2394","2394","2394","3.7113452911376954","3.7113452911376954","3.7113452911376954","2394","2394","2394","4.025131607055664","4.025131607055664","4.025131607055664","2394","2394","2394","3.417582702636719","3.417582702636719","3.417582702636719"
"2500","2520","2520","2520","3.784274291992188","3.784274291992188","3.784274291992188","2520","2520","2520","4.681211853027344","4.681211853027344","4.681211853027344","2520","2520","2520","3.837554931640625","3.837554931640625","3.837554931640625","2520","2520","2520","3.681718444824219","3.681718444824219","3.681718444824219","2520","2520","2520","3.999116897583008","3.999116897583008","3.999116897583008","2520","2520","2520","3.397116470336914","3.397116470336914","3.397116470336914"
"2625","2646","2646","2646","3.74146728515625","3.74146728515625","3.74146728515625","2646","2646","2646","4.58654556274414","4.58654556274414","4.58654556274414","2646","2646","2646","3.7905235290527344","3.7905235290527344","3.7905235290527344","2646","2646","2646","3.644843292236328","3.644843292236328","3.644843292236328","2646","2646","2646","3.9720340728759767","3.9720340728759767","3.9720340728759767","2646","2646","2646","3.369998550415039","3.369998550415039","3.369998550415039"
"2750","2772","2772","2772","3.711767578125","3.711767578125","3.711767578125","2772","2772","2772","4.503125381469727","4.503125381469727","4.503125381469727","2772","2772","2772","3.744213104248047","3.744213104248047","3.744213104248047","2772","2772","2772","3.610843276977539","3.610843276977539","3.610843276977539","2772","2772","2772","3.949031066894531","3.949031066894531","3.949031066894531","2772","2772","2772","3.345149612426758","3.345149612426758","3.345149612426758"
"2875","2898","2898","2898","3.688277816772461","3.688277816772461","3.688277816772461","2898","2898","2898","4.438749694824219","4.438749694824219","4.438749694824219","2898","2898","2898","3.70832405090332","3.70832405090332","3.70832405090332","2898","2898","2898","3.581344985961914","3.581344985961914","3.581344985961914","2898","2898","2898","3.9338096618652343","3.9338096618652343","3.9338096618652343","2898","2898","2898","3.3228729248046873","3.3228729248046873","3.3228729248046873"
"3000","3024","3024","3024","3.676493453979492","3.676493453979492","3.676493453979492","3024","3024","3024","4.412149429321289","4.412149429321289","4.412149429321289","3024","3024","3024","3.688427734375","3.688427734375","3.688427734375","3024","3024","3024","3.563856887817382","3.563856887817382","3.563856887817382","3024","3024","3024","3.923748397827148","3.923748397827148","3.923748397827148","3024","3024","3024","3.309033966064453","3.309033966064453","3.309033966064453"
