"step","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - _step","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - _step__MIN","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - _step__MAX","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - val/loss","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - val/loss__MIN","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - val/loss__MAX","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - _step","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - _step__MIN","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - _step__MAX","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - val/loss","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - val/loss__MIN","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - val/loss__MAX","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - _step","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - _step__MIN","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - _step__MAX","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - val/loss","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - val/loss__MIN","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - val/loss__MAX","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - _step","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - _step__MIN","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - _step__MAX","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - val/loss","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - val/loss__MIN","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - val/loss__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - _step","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - _step__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - _step__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - val/loss","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - val/loss__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - val/loss__MAX","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - _step","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - _step__MIN","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - _step__MAX","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - val/loss","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - val/loss__MIN","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - val/loss__MAX"
"1250","1260","1260","1260","3.4137828826904295","3.4137828826904295","3.4137828826904295","1260","1260","1260","3.65422248840332","3.65422248840332","3.65422248840332","1260","1260","1260","3.3449398040771485","3.3449398040771485","3.3449398040771485","1260","1260","1260","3.6384159088134767","3.6384159088134767","3.6384159088134767","1260","1260","1260","3.5579753875732423","3.5579753875732423","3.5579753875732423","1260","1260","1260","3.784586715698242","3.784586715698242","3.784586715698242"
"1375","1386","1386","1386","3.384543228149414","3.384543228149414","3.384543228149414","1386","1386","1386","3.60224609375","3.60224609375","3.60224609375","1386","1386","1386","3.3196693420410157","3.3196693420410157","3.3196693420410157","1386","1386","1386","3.613360977172852","3.613360977172852","3.613360977172852","1386","1386","1386","3.5331180572509764","3.5331180572509764","3.5331180572509764","1386","1386","1386","3.761804962158203","3.761804962158203","3.761804962158203"
"1500","1512","1512","1512","3.356882095336914","3.356882095336914","3.356882095336914","1512","1512","1512","3.5448272705078123","3.5448272705078123","3.5448272705078123","1512","1512","1512","3.294894790649414","3.294894790649414","3.294894790649414","1512","1512","1512","3.5925193786621095","3.5925193786621095","3.5925193786621095","1512","1512","1512","3.51207275390625","3.51207275390625","3.51207275390625","1512","1512","1512","3.7087177276611327","3.7087177276611327","3.7087177276611327"
"1625","1638","1638","1638","3.3366683959960937","3.3366683959960937","3.3366683959960937","1638","1638","1638","3.5098541259765623","3.5098541259765623","3.5098541259765623","1638","1638","1638","3.2775089263916017","3.2775089263916017","3.2775089263916017","1638","1638","1638","3.57354736328125","3.57354736328125","3.57354736328125","1638","1638","1638","3.4957923889160156","3.4957923889160156","3.4957923889160156","1638","1638","1638","3.678605651855469","3.678605651855469","3.678605651855469"
"1750","1764","1764","1764","3.3170841217041014","3.3170841217041014","3.3170841217041014","1764","1764","1764","3.4786540985107424","3.4786540985107424","3.4786540985107424","1764","1764","1764","3.2587265014648437","3.2587265014648437","3.2587265014648437","1764","1764","1764","3.5565254211425783","3.5565254211425783","3.5565254211425783","1764","1764","1764","3.479450225830078","3.479450225830078","3.479450225830078","1764","1764","1764","3.659826278686523","3.659826278686523","3.659826278686523"
"1875","1890","1890","1890","3.3000411987304688","3.3000411987304688","3.3000411987304688","1890","1890","1890","3.4447395324707033","3.4447395324707033","3.4447395324707033","1890","1890","1890","3.24340934753418","3.24340934753418","3.24340934753418","1890","1890","1890","3.5434322357177734","3.5434322357177734","3.5434322357177734","1890","1890","1890","3.4664180755615233","3.4664180755615233","3.4664180755615233","1890","1890","1890","3.6343639373779295","3.6343639373779295","3.6343639373779295"
"2000","2016","2016","2016","3.2851230621337892","3.2851230621337892","3.2851230621337892","2016","2016","2016","3.4213062286376954","3.4213062286376954","3.4213062286376954","2016","2016","2016","3.22967414855957","3.22967414855957","3.22967414855957","2016","2016","2016","3.5307830810546874","3.5307830810546874","3.5307830810546874","2016","2016","2016","3.454426956176758","3.454426956176758","3.454426956176758","2016","2016","2016","3.6115089416503903","3.6115089416503903","3.6115089416503903"
"2125","2142","2142","2142","3.269689559936523","3.269689559936523","3.269689559936523","2142","2142","2142","3.40023422241211","3.40023422241211","3.40023422241211","2142","2142","2142","3.2164989471435548","3.2164989471435548","3.2164989471435548","2142","2142","2142","3.5157093048095702","3.5157093048095702","3.5157093048095702","2142","2142","2142","3.4427310943603517","3.4427310943603517","3.4427310943603517","2142","2142","2142","3.592669677734375","3.592669677734375","3.592669677734375"
"2250","2268","2268","2268","3.256569671630859","3.256569671630859","3.256569671630859","2268","2268","2268","3.3757747650146483","3.3757747650146483","3.3757747650146483","2268","2268","2268","3.204114532470703","3.204114532470703","3.204114532470703","2268","2268","2268","3.5048095703125","3.5048095703125","3.5048095703125","2268","2268","2268","3.4317771911621096","3.4317771911621096","3.4317771911621096","2268","2268","2268","3.576554107666015","3.576554107666015","3.576554107666015"
"2375","2394","2394","2394","3.2463172912597655","3.2463172912597655","3.2463172912597655","2394","2394","2394","3.362016296386719","3.362016296386719","3.362016296386719","2394","2394","2394","3.195583724975586","3.195583724975586","3.195583724975586","2394","2394","2394","3.4949878692626952","3.4949878692626952","3.4949878692626952","2394","2394","2394","3.423009490966797","3.423009490966797","3.423009490966797","2394","2394","2394","3.563241958618164","3.563241958618164","3.563241958618164"
