Step,muon (0.03) - val/loss,muon (0.03) - val/loss__MIN,muon (0.03) - val/loss__MAX,dion_4 (0.02) - val/loss,dion_4 (0.02) - val/loss__MIN,dion_4 (0.02) - val/loss__MAX,dion_2 (0.03) - val/loss,dion_2 (0.03) - val/loss__MIN,dion_2 (0.03) - val/loss__MAX,adam (0.002) - val/loss,adam (0.002) - val/loss__MIN,adam (0.002) - val/loss__MAX,dion_1 (0.03) - val/loss,dion_1 (0.03) - val/loss__MIN,dion_1 (0.03) - val/loss__MAX,demo (0.001) - val/loss,demo (0.001) - val/loss__MIN,demo (0.001) - val/loss__MAX,dion_8 (0.02) - val/loss,dion_8 (0.02) - val/loss__MIN,dion_8 (0.02) - val/loss__MAX,dion_16 (0.01) - val/loss,dion_16 (0.01) - val/loss__MIN,dion_16 (0.01) - val/loss__MAX
1700,,,,,,,,,,3.3784511566162108,3.3784511566162108,3.3784511566162108,,,,3.662100982666016,3.662100982666016,3.662100982666016,3.332450103759766,3.332450103759766,3.332450103759766,3.5210281372070313,3.5210281372070313,3.5210281372070313
1750,,,,,,,,,,3.3736778259277345,3.3736778259277345,3.3736778259277345,,,,3.643492508,3.643492508,3.643492508,,,,3.512909698486328,3.512909698486328,3.512909698486328
1800,,,,,,,,,,3.369526672363281,3.369526672363281,3.369526672363281,,,,3.630664063,3.630664063,3.630664063,,,,3.501555252075195,3.501555252075195,3.501555252075195
1850,,,,,,,,,,3.3387603759765625,3.3387603759765625,3.3387603759765625,,,,3.624614715576172,3.624614715576172,3.624614715576172,,,,3.491786957,3.491786957,3.491786957
1900,,,,,,,,,,3.3147632598876955,3.3147632598876955,3.3147632598876955,,,,3.610037231445312,3.610037231445312,3.610037231445312,,,,3.481002426147461,3.481002426147461,3.481002426147461
1950,,,,,,,,,,3.300399017333985,3.300399017333985,3.300399017333985,,,,3.6007064819335937,3.6007064819335937,3.6007064819335937,,,,3.4740249633789064,3.4740249633789064,3.4740249633789064
2000,,,,,,,,,,3.2906162261962892,3.2906162261962892,3.2906162261962892,,,,3.5892051696777343,3.5892051696777343,3.5892051696777343,,,,3.465078353881836,3.465078353881836,3.465078353881836
2050,,,,,,,,,,,,,,,,3.586560821533203,3.586560821533203,3.586560821533203,,,,3.4578884124755858,3.4578884124755858,3.4578884124755858
2100,,,,,,,,,,,,,,,,3.5800701141357423,3.5800701141357423,3.5800701141357423,,,,3.450663757324219,3.450663757324219,3.450663757324219
2150,,,,,,,,,,,,,,,,3.5633445739746095,3.5633445739746095,3.5633445739746095,,,,3.445083999633789,3.445083999633789,3.445083999633789
